LEAID,LEA_NAME,SCHID,SCH_NAME,CITY,COMBOKEY,NMCNTY,LOCALE,LAT,LON
601497,Willits Elementary Charter District,13021,Willits Elementary Charter,Willits,60149713021,Mendocino County,33,39.412351,-123.347149
601498,KIPP Bayview Elementary District,14322,KIPP Bayview Elementary,San Francisco,60149814322,San Francisco County,11,37.718421,-122.389474
601499,Sierra Expeditionary Learning District,12628,Sierra Expeditionary Learning,Truckee,60149912628,Nevada County,32,39.324738,-120.209113
601500,Options for Youth-Acton District,14202,Options for Youth-Acton,Fontana,60150014202,San Bernardino County,21,34.063566,-117.429905
601501,Olive Grove Charter - Buellton District,14258,Olive Grove Charter - Buellton,Buellton,60150114258,Santa Barbara County,32,34.610034,-120.187132
601502,Making Waves Academy District,12043,Making Waves Academy,Richmond,60150212043,Contra Costa County,21,37.988529,-122.332591
601503,Elevate District,13795,Elevate School,San Diego,60150313795,San Diego County,11,32.786559,-117.144156
601505,Da Vinci Communications District,13832,Da Vinci Communications,El Segundo,60150513832,Los Angeles County,21,33.917966,-118.384252
601507,ISANA Himalia Academy District,12162,ISANA Himalia Academy,Los Angeles,60150712162,Los Angeles County,11,34.0026,-118.2593
601508,Valley Life Charter District,12862,Valley Life Charter School,Visalia,60150812862,Tulare County,12,36.312467,-119.332501
601509,Sweetwater Secondary District,14089,Sweetwater Secondary,Chula Vista,60150914089,San Diego County,21,32.64883,-117.053421
601511,Creekside Charter District,12515,Creekside Charter,Olympic Valley,60151112515,Placer County,42,39.198941,-120.239981
601512,Sutter Peak Charter Academy District,13958,Sutter Peak Charter Academy,Live Oak,60151213958,Sutter County,41,39.187386,-121.679156
601513,Peabody Charter District,6027,Peabody Charter,Santa Barbara,60151306027,Santa Barbara County,13,34.441704,-119.728625
601514,Latitude 37.8 High District,14257,Latitude 37.8 High,Oakland,60151414257,Alameda County,11,37.777625,-122.23037
601515,High Tech High Media Arts District,11386,High Tech High Media Arts,San Diego,60151511386,San Diego County,11,32.734606,-117.219838
601516,Harbor Springs Charter District,13715,Harbor Springs Charter,Julian,60151613715,San Diego County,42,33.078784,-116.594864
601517,Compass Charter Schools of San Diego District,13179,Compass Charter Schools of San Diego,Thousand Oaks,60151713179,Ventura County,12,34.155773,-118.830751
601519,EPIC CHRTR(Excellence Perf Innovation Citzenship) DIST,14018,EPIC Charter (Excellence Performance Innovation Citizenship),Anaheim,60151914018,Orange County,11,33.835374,-117.913275
601520,Howard Gardner Community Charter District,12866,Howard Gardner Community Charter,Chula Vista,60152012866,San Diego County,11,32.641276,-117.095497
601521,All Tribes Elementary Charter District,12735,All Tribes Elementary Charter,Valley Center,60152112735,San Diego County,42,33.277772,-116.954262
601522,Audeo Charter District,10634,Audeo Charter,San Diego,60152210634,San Diego County,11,32.778765,-117.120217
601523,Encore Jr./Sr. High Sch for the Perf & Visual Arts District,12375,Encore Jr./Sr. High Sch for the Perf and Visual Arts,Hesperia,60152312375,San Bernardino County,21,34.442792,-117.293283
601524,Aspire Titan Academy District,12447,Aspire Titan Academy,Huntington Park,60152412447,Los Angeles County,21,33.978062,-118.23423
601526,Monsenor Oscar Romero Charter Middle District,11928,Monsenor Oscar Romero Charter Middle,Los Angeles,60152611928,Los Angeles County,11,34.050517,-118.29396
601527,Iftin Charter District,11385,Iftin Charter,San Diego,60152711385,San Diego County,11,32.757136,-117.078486
601528,Insight @ San Diego District,13030,Insight @ San Diego,Simi Valley,60152813030,Ventura County,22,34.275884,-118.797998
601529,Valor Academy Elementary District,13966,Valor Academy Elementary,Arleta,60152913966,Los Angeles County,11,34.229303,-118.436232
601530,PUC Community Charter Elementary District,13768,PUC Community Charter Elementary,Sylmar,60153013768,Los Angeles County,11,34.306662,-118.438688
601531,California Heritage Youthbuild Academy II District,12995,California Heritage Youthbuild Academy II,Redding,60153112995,Shasta County,22,40.536048,-122.303552
601532,Bright Star Secondary Charter Academy District,11665,Stella High Charter Academy,Los Angeles,60153211665,Los Angeles County,21,33.928499,-118.306582
601533,Ingenuity Charter District,13917,Ingenuity Charter,San Diego,60153313917,San Diego County,11,32.702116,-117.065832
601534,Los Angeles Academy of Arts and Enterprise District,11628,Los Angeles Academy of Arts and Enterprise,Los Angeles,60153411628,Los Angeles County,11,34.060819,-118.255441
601535,Intellectual Virtues Academy District,14009,Intellectual Virtues Academy,Long Beach,60153514009,Los Angeles County,11,33.788155,-118.189793
601536,Rocketship Si Se Puede Academy District,12225,Rocketship Si Se Puede Academy,San Jose,60153612225,Santa Clara County,11,37.35231,-121.83888
601537,Pacific View Charter District,8313,Pacific View Charter,Oceanside,60153708313,San Diego County,21,33.211427,-117.313507
601538,Multicultural Learning Center District,8721,Multicultural Learning Center,Canoga Park,60153808721,Los Angeles County,11,34.206945,-118.587091
601540,Environmental Charter Middle - Inglewood District,13591,Environmental Charter Middle - Inglewood,Inglewood,60154013591,Los Angeles County,21,33.930595,-118.335375
601541,ISANA Palmati Academy District,12614,ISANA Palmati Academy,North Hollywood,60154112614,Los Angeles County,11,34.189629,-118.397507
601542,Alliance Kory Hunter Middle District,13487,Alliance Kory Hunter Middle,Los Angeles,60154213487,Los Angeles County,21,33.987075,-118.247452
601543,New Designs Charter School-Watts District,12456,New Designs Charter School-Watts,Los Angeles,60154312456,Los Angeles County,21,33.917154,-118.264685
601544,KIPP Comienza Community Prep District,12705,KIPP Comienza Community Prep,Huntington Park,60154412705,Los Angeles County,21,33.97404,-118.232051
601545,Keiller Leadership Academy District,5492,Keiller Leadership Academy,San Diego,60154505492,San Diego County,11,32.712664,-117.042175
601546,Ivy Bound Acad Math Sci and Tech Charter Mid 2 District,13685,Ivy Bound Acad Math Sci and Tech Charter Mid 2,Northridge,60154613685,Los Angeles County,11,34.227527,-118.569648
601547,Aspire Richmond Technology Academy District,13891,Aspire Richmond Technology Academy,Richmond,60154713891,Contra Costa County,21,37.981578,-122.323765
601548,New Designs Charter District,10840,New Designs Charter,Los Angeles,60154810840,Los Angeles County,11,34.030995,-118.275174
601549,Pivot Charter School North Valley II District,14363,Pivot Charter School North Valley II,Chico,60154914363,Butte County,12,39.734687,-121.821528
601550,Los Feliz Charter School for the Arts District,11660,California Creative Learning Academy (formerly Los Feliz Charter School for the Arts),Los Angeles,60155011660,Los Angeles County,11,34.110857,-118.2455
601551,Urban Discovery Academy Charter District,12318,Urban Discovery Academy Charter,San Diego,60155112318,San Diego County,11,32.714212,-117.152263
601552,Aspire Golden State College Preparatory Academy District,12331,Aspire Golden State College Preparatory Academy,Oakland,60155212331,Alameda County,11,37.75947,-122.198408
601553,Aspire Centennial College Preparatory Academy District,13135,Aspire Centennial College Preparatory Academy,Huntington Park,60155313135,Los Angeles County,21,33.97754,-118.234155
601554,Inspire School of Arts and Sciences District,12539,Inspire School of Arts and Sciences,Chico,60155412539,Butte County,12,39.734613,-121.847795
601555,Glacier High School Charter District,10541,Glacier High School Charter,Oakhurst,60155510541,Madera County,32,37.348392,-119.641202
601556,Uncharted Shores Academy District,11883,Uncharted Shores Academy,Crescent City,60155611883,Del Norte County,33,41.75096,-124.201091
601557,Aspire Junior Collegiate Academy District,12077,Aspire Junior Collegiate Academy,Huntington Park,60155712077,Los Angeles County,21,33.978062,-118.23423
601558,Norton Science and Language Academy District,12150,Norton Science and Language Academy,San Bernardino,60155812150,San Bernardino County,12,34.097903,-117.279618
601559,Lake County International Charter District,10819,Lake County International Charter,Middletown,60155910819,Lake County,42,38.75153,-122.614381
601560,Classical Academy District,8300,Classical Academy,Escondido,60156008300,San Diego County,21,33.084038,-117.055483
601561,ACE Charter High District,13023,ACE Charter High School,San Jose,60156113023,Santa Clara County,11,37.366775,-121.857906
601562,Mission View Public District,11906,Mission View Public,Santa Clarita,60156211906,Los Angeles County,21,34.415751,-118.552754
601563,Sherman Thomas Charter High District,12209,Sherman Thomas Charter High,Madera,60156312209,Madera County,23,36.98333,-120.06885
601564,North Valley Military INST College ACAD District,11339,North Valley Military Institute College Preparatory Academy,Sun Valley,60156411339,Los Angeles County,11,34.235666,-118.396665
601565,Nova Academy Early College High District,10989,Nova Academy Early College High,Santa Ana,60156510989,Orange County,11,33.747442,-117.872867
601567,International School of Monterey District,8744,International School of Monterey,Seaside,60156708744,Monterey County,22,36.612649,-121.82705
601568,Alliance Ted K. Tajima High District,12766,Alliance Ted K. Tajima High,Los Angeles,60156812766,Los Angeles County,11,34.063542,-118.261557
601569,WISH Academy High District,14098,WISH Academy High,Los Angeles,60156914098,Los Angeles County,11,33.958624,-118.428875
601570,Monterey Bay Charter District,11695,Monterey Bay Charter,Pacific Grove,60157011695,Monterey County,22,36.60542,-121.930167
601571,New Village Girls Academy District,11631,New Village Girls Academy,Los Angeles,60157111631,Los Angeles County,11,34.071389,-118.279646
601573,Watts Learning Center District,7522,Watts Learning Center,Los Angeles,60157307522,Los Angeles County,11,33.949962,-118.278746
601574,Yuba Environmental Science Charter Academy District,12258,Yuba Environmental Science Charter Academy,Oregon House,60157412258,Yuba County,42,39.363447,-121.245302
601575,TEACH Prep Mildred S. Cunningham & Edith H. Morris Elem DIST,14313,TEACH Prep Mildred S. Cunningham & Edith H. Morris Elem,Los Angeles,60157514313,Los Angeles County,11,33.96068,-118.309341
601576,KIPP Adelante Preparatory Academy District,11263,KIPP Adelante Preparatory Academy,San Diego,60157611263,San Diego County,11,32.708553,-117.089129
601577,Mojave River Academy - Silver Mountain District,14245,Mojave River Academy - Silver Mountain,Barstow,60157714245,San Bernardino County,32,34.892906,-117.053925
601578,Mueller Charter (Robert L.) District,869,Mueller Charter (Robert L.),Chula Vista,60157800869,San Diego County,11,32.626906,-117.093812
601579,Opportunities for Learning - Santa Clarita District,8070,Opportunities for Learning - Santa Clarita,Valencia,60157908070,Los Angeles County,21,34.438265,-118.563781
601580,CHAMPS - Charter HS of Arts-Multimedia & Performing District,10865,CHAMPS - Charter HS of Arts-Multimedia & Performing,Van Nuys,60158010865,Los Angeles County,11,34.19512,-118.44752
601581,Laurel Tree Charter District,12960,Laurel Tree Charter,Arcata,60158112960,Humboldt County,33,40.899387,-124.083729
601582,Caliber: ChangeMakers Academy District,14030,Caliber: ChangeMakers Academy,Vallejo,60158214030,Solano County,12,38.119334,-122.250383
601584,PUC Lakeview Charter Academy District,10837,PUC Lakeview Charter Academy,Lake View Terrace,60158410837,Los Angeles County,11,34.280299,-118.381669
601585,King-Chavez Academy of Excellence District,10381,King-Chavez Academy of Excellence,San Diego,60158510381,San Diego County,11,32.698008,-117.136112
601586,Valley Charter Elementary District,12641,Valley Charter Elementary,North Hills,60158612641,Los Angeles County,11,34.234953,-118.492001
601587,Golden Valley Orchard District,13910,Golden Valley Orchard,Orangevale,60158713910,Sacramento County,21,38.685158,-121.215272
601588,Edison-Bethune Charter Academy District,7958,Edison-Bethune Charter Academy,Fresno,60158807958,Fresno County,11,36.726376,-119.818457
601589,Alliance College-Ready Middle Academy 8 District,13273,Alliance College-Ready Middle Academy 8,Los Angeles,60158913273,Los Angeles County,21,34.03546,-118.187311
601590,Heartland Charter District,14226,Heartland Charter,Maricopa,60159014226,Kern County,42,35.05416,-119.403814
601591,Discovery Charter District,11792,DISCOVERY CHARTER SCHOOL - PHOENIX,San Jose,60159111792,Santa Clara County,11,37.302965,-121.972609
601592,JCS - Pine Hills District,14346,JCS - Pine Hills,Temecula,60159214346,Riverside County,12,33.481266,-117.138196
601593,Clear Passage Educational Center District,13860,Clear Passage Educational Center,Long Beach,60159313860,Los Angeles County,11,33.78454,-118.18098
601594,Santa Monica Boulevard Community Charter District,3333,Santa Monica Boulevard Community Charter,Los Angeles,60159403333,Los Angeles County,11,34.089564,-118.315199
601595,Redding STEM Academy District,13960,Redding STEM Academy,Redding,60159513960,Shasta County,13,40.628656,-122.398288
601596,Birmingham Community Charter High District,2857,Birmingham Community Charter High,Lake Balboa,60159602857,Los Angeles County,11,34.187721,-118.504882
601597,Downtown College Preparatory District,8632,Downtown College Preparatory,San Jose,60159708632,Santa Clara County,11,37.31614,-121.87308
601598,Aspire Capitol Heights Academy District,11189,Aspire Capitol Heights Academy,Sacramento,60159811189,Sacramento County,11,38.555297,-121.470108
601599,ISANA Nascent Academy District,10869,ISANA Nascent Academy,Los Angeles,60159910869,Los Angeles County,11,34.025831,-118.333173
601600,Scholarship Prep - Oceanside District,14079,Scholarship Prep - Oceanside,Oceanside,60160014079,San Diego County,21,33.231833,-117.317519
601601,Mojave River Academy - Gold Canyon District,14270,Mojave River Academy - Gold Canyon,Fontana,60160114270,San Bernardino County,21,34.091259,-117.4721
601602,Piner-Olivet Charter District,6676,Piner-Olivet Charter,Santa Rosa,60160206676,Sonoma County,12,38.480408,-122.764313
601603,Oasis Charter Public District,10558,Oasis Charter Public,Salinas,60160310558,Monterey County,12,36.704746,-121.670476
601604,Aspire East Palo Alto Charter District,14051,Aspire East Palo Alto Charter,East Palo Alto,60160414051,San Mateo County,21,37.468276,-122.127922
601606,Northern United - Siskiyou Charter District,14256,Northern United - Siskiyou Charter,Yreka,60160614256,Siskiyou County,32,41.728747,-122.63764
601607,Summit Leadership Academy-High Desert District,11118,Summit Leadership Academy-High Desert,Hesperia,60160711118,San Bernardino County,41,34.412835,-117.382453
601609,Sierra Charter District,11846,Sierra Charter,Fresno,60160911846,Fresno County,11,36.767918,-119.729738
601610,Redwood Academy of Ukiah District,8520,Redwood Academy of Ukiah,Ukiah,60161008520,Mendocino County,33,39.164787,-123.209757
601611,Orange County Workforce Innovation High District,14040,Orange County Workforce Innovation High,Anaheim,60161114040,Orange County,11,33.837954,-117.94188
601612,Russell Westbrook Why Not? High School,14144,Russell Westbrook Why Not? High School,Los Angeles,60161214144,Los Angeles County,11,33.99531,-118.308701
601613,Fenton STEM Acad: Elem CTR for Sci Tech Engr & Math District,13872,Fenton STEM Acad: Elem Center for Sci Tech Engr and Math,Sun Valley,60161313872,Los Angeles County,11,34.23147,-118.366201
601614,Envision Academy for Arts & Technology District,10947,Envision Academy for Arts & Technology,Oakland,60161410947,Alameda County,11,37.804671,-122.268353
601616,California Virtual Academy at Fresno District,14251,California Virtual Academy at Fresno,Simi Valley,60161614251,Ventura County,22,34.275884,-118.797998
601617,Lennox Mathematics Science and Technology Academy District,11328,Lennox Mathematics Science and Technology Academy,Lennox,60161711328,Los Angeles County,21,33.935113,-118.351786
601619,KIPP Heartwood Academy District,11444,KIPP Heartwood Academy,San Jose,60161911444,Santa Clara County,11,37.337856,-121.839923
601621,Rocketship Discovery Prep District,12668,Rocketship Discovery Prep,San Jose,60162112668,Santa Clara County,11,37.354678,-121.870315
601622,High Tech Middle North County District,12388,High Tech Middle North County,San Marcos,60162212388,San Diego County,21,33.132371,-117.202227
601624,Animo Legacy Charter Middle District,12935,Animo Legacy Charter Middle,Los Angeles,60162412935,Los Angeles County,21,33.921033,-118.308616
601625,Alta Vista Innovation High District,14154,Alta Vista Innovation High,Hesperia,60162514154,San Bernardino County,21,34.468817,-117.292976
601626,KIPP San Francisco Bay Academy District,11255,KIPP San Francisco Bay Academy,San Francisco,60162611255,San Francisco County,11,37.78344,-122.437375
601627,Innovations Academy District,12261,Innovations Academy,San Diego,60162712261,San Diego County,11,32.83428,-117.127331
601628,Humphreys College Academy of Business Law and ED District,13064,Humphreys College Academy of Business Law and Education,Stockton,60162813064,San Joaquin County,11,38.010194,-121.316825
601629,Community Collaborative Virtual - Sage Oak Charter District,14107,Sage Oak Charter,Redlands,60162914107,San Bernardino County,13,34.038341,-117.153714
601630,Magnolia Science Academy Bell District,12695,Magnolia Science Academy Bell,Bell,60163012695,Los Angeles County,21,33.978276,-118.19975
601631,Trivium Charter School Adventure District,14339,Trivium Charter School Adventure,Lompoc,60163114339,Santa Barbara County,23,34.637884,-120.43848
601632,Pacific View Charter 2.0 District,8486,Pacific View Charter 2.0,Eureka,60163208486,Humboldt County,33,40.783274,-124.169368
601633,College Bridge Academy District,13704,College Bridge Academy,Long Beach,60163313704,Los Angeles County,11,33.82337,-118.185391
601635,Alternatives in Action District,8674,Alternatives in Action,Oakland,60163508674,Alameda County,11,37.76445,-122.195422
601636,Alpha Cindy Avitia High District,13926,Alpha Cindy Avitia High,San Jose,60163613926,Santa Clara County,11,37.332384,-121.828027
601637,Rocketship Alma Academy District,13048,Rocketship Alma Academy,San Jose,60163713048,Santa Clara County,11,37.31343,-121.877671
601638,College Preparatory Middle District,14334,College Preparatory Middle,Spring Valley,60163814334,San Diego County,21,32.74583,-116.971299
601639,Motivated Youth Academy,13837,Motivated Youth Academy,San Marcos,60163913837,San Diego County,21,33.141534,-117.162495
601640,Leadership Military Academy District,12986,Leadership Military Academy,Moreno Valley,60164012986,Riverside County,21,33.9214,-117.225808
601641,Provisional Accelerated Learning Academy District,10364,Provisional Accelerated Learning Academy,San Bernardino,60164110364,San Bernardino County,21,34.151065,-117.356448
601642,The Academy of Alameda District,42,The Academy of Alameda,Alameda,60164200042,Alameda County,21,37.777038,-122.285398
601644,Eel River Charter District,3304,Eel River Charter,Covelo,60164403304,Mendocino County,43,39.793826,-123.249194
601645,Arroyo Vista Charter District,8299,Arroyo Vista Charter,Chula Vista,60164508299,San Diego County,11,32.638773,-116.953087
601647,Impact Academy of Arts & Technology District,11849,Impact Academy of Arts & Technology,Hayward,60164711849,Alameda County,21,37.6306,-122.102755
601648,Summit Public School: Shasta District,13354,Summit Public School: Shasta,Daly City,60164813354,San Mateo County,21,37.66658,-122.476364
601649,Animo Mae Jemison Charter Middle District,13787,Animo Mae Jemison Charter Middle,Los Angeles,60164913787,Los Angeles County,21,33.91754,-118.264041
601652,Gabriella Charter 2 District,14109,Gabriella Charter 2,Los Angeles,60165214109,Los Angeles County,11,34.012285,-118.269203
601653,California Montessori Project-San Juan Campuses District,11733,California Montessori Project-San Juan Campuses,Carmichael,60165311733,Sacramento County,21,38.634039,-121.340276
601654,Alliance Virgil Roberts Leadership Academy District,13597,Alliance Virgil Roberts Leadership Academy,Los Angeles,60165413597,Los Angeles County,11,33.977166,-118.325391
601656,Downtown College Prep - Alum Rock District,12827,Downtown College Prep - Alum Rock,San Jose,60165612827,Santa Clara County,11,37.366775,-121.857906
601657,Animo Jackie Robinson High District,11636,Animo Jackie Robinson High,Los Angeles,60165711636,Los Angeles County,11,34.017318,-118.275298
601658,Animo Ellen Ochoa Charter Middle District,12905,Animo Ellen Ochoa Charter Middle,Los Angeles,60165812905,Los Angeles County,21,34.041202,-118.17166
601660,Heritage K-8 Charter District,11228,Heritage K-8 Charter,Escondido,60166011228,San Diego County,21,33.135941,-117.054213
601661,eCademy Charter at Crane District,12929,eCademy Charter at Crane,Turlock,60166112929,Stanislaus County,23,37.496993,-120.839436
601662,Kavod Charter District,13201,Kavod Charter,San Diego,60166213201,San Diego County,11,32.819575,-117.168138
601664,Alameda Community Learning Center District,8673,Alameda Community Learning Center,Alameda,60166408673,Alameda County,21,37.779205,-122.287277
601665,Chico Country Day District,5708,Chico Country Day,Chico,60166505708,Butte County,12,39.724042,-121.833269
601666,Alliance Collins Family College-Ready High District,10871,Alliance Collins Family College-Ready High,Huntington Park,60166610871,Los Angeles County,21,33.977345,-118.234464
601667,Aspire Pacific Academy District,12634,Aspire Pacific Academy,Huntington Park,60166712634,Los Angeles County,21,33.990468,-118.225848
601669,Golden Valley River District,11902,Golden Valley River,Orangevale,60166911902,Sacramento County,21,38.674332,-121.195451
601670,Richmond Charter Elementary-Benito Juarez District,13753,Richmond Charter Elementary-Benito Juarez,Richmond,60167013753,Contra Costa County,21,37.91138,-122.35502
601671,Alpha: Cornerstone Academy Preparatory District,12639,Alpha: Cornerstone Academy Preparatory,San Jose,60167112639,Santa Clara County,11,37.324773,-121.851296
601672,Oxford Preparatory Academy - Saddleback Valley District,14001,Oxford Preparatory Academy - Saddleback Valley,Lake Forest,60167214001,Orange County,21,33.62878,-117.700481
601674,Rocklin Academy at Meyers Street District,12012,Rocklin Academy at Meyers Street,Rocklin,60167412012,Placer County,21,38.80289,-121.287302
601677,Crescent View West Public Charter District,10789,Crescent View West Public Charter,Fresno,60167710789,Fresno County,11,36.780471,-119.788481
601678,Magnolia Science Academy 4 District,12360,Magnolia Science Academy 4,Los Angeles,60167812360,Los Angeles County,11,34.029926,-118.434795
601679,Valor Academy Middle District,12510,Valor Academy Middle,North Hills,60167912510,Los Angeles County,11,34.234884,-118.463013
601680,Ackerman Charter,37,Bowman Charter,Auburn,60168000037,Placer County,31,38.935341,-121.055526
601681,SIATech Academy South District,13829,SIATech Academy South,Los Angeles,60168113829,Los Angeles County,21,34.033677,-118.162315
601682,MethodSchools District,13762,MethodSchools,El Cajon,60168213762,San Diego County,41,32.781577,-116.850437
601683,Lifeline Education Charter District,12119,Lifeline Education Charter,Compton,60168312119,Los Angeles County,21,33.8947,-118.21626
601684,High Tech LA District,10829,High Tech LA,Lake Balboa,60168410829,Los Angeles County,11,34.187261,-118.506195
601685,Morrice Schaefer Charter District,9993,Morrice Schaefer Elementary School,Santa Rosa,60168509993,Sonoma County,12,38.473942,-122.74556
601686,LaVerne Elementary Preparatory Academy District,12333,LaVerne Elementary Preparatory Academy,Hesperia,60168612333,San Bernardino County,21,34.382993,-117.27724
